constellation,name,NNo,Max,MinI,Period,Spectrum,range,
perseus,Algol,639002,2.12,3.39,2.8673043,3063.87,1.27,
perseus,Basel,639004,2.99,3.04,,3261.9,0.05,
perseus,Menkib,639014,4,4.06,,3690.95,0.06,
perseus,Atik,639015,3.79,3.88,4.4191666,3525.93,0.09,
perseus,rho,639017,3.3,4,50,357.54,0.7,
perseus,phi,639021,3.96,4.11,19.5,3459.92,0.15,
perseus,no.48,630286,4,-0.09,72,3393.91,-4.09,
