constellation,name,NNo,Max,MinI,Period,Spectrum,range,
Scorpius,Antares,739001,0.88,1.16,,522.5605952,0.28,
Scorpius,zeta.1,7390061,4.66,4.86,,3525.928206,0.2,
Scorpius,kappa,739010,2.41,2.42,0.1998303,3492.924167,0.01,
Scorpius,lambda,739011,1.62,-0.06,0.2136966,3492.924167,-1.68,
Scorpius,mu.1,7390121,2.94,3.22,1.44626907,3492.924167,0.28,
Scorpius,sigma,739018,2.86,2.94,0.246839,3459.920127,0.08,
